radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,311,480,9728,9903886,0,-122.393744,37.788097,1000,21,1,1458613761,1491242559,0
LTE,311,480,9728,9960451,0,-122.401481,37.787317,1000,13,1,1458613762,1479266640,0
LTE,311,480,9728,84717582,0,-122.402333,37.785713,500,192,1,1458613762,1505404269,0
LTE,311,480,9728,9949216,0,-122.407714,37.785834,1000,83,1,1458613761,1505957372,0
LTE,311,480,9728,9949208,0,-122.4048614502,37.78678894043,1000,3,1,1458613761,1485479129,0
LTE,311,480,9728,86532888,0,-122.400742,37.79032,1000,14,1,1458613762,1488283667,0
LTE,311,480,9728,9949206,0,-122.405363,37.786978,1000,10,1,1458613761,1505264630,0
LTE,311,480,9728,86659912,0,-122.41361,37.800114,1000,26,1,1458613762,1558917260,0
LTE,311,480,9728,86657866,0,-122.420672,37.80505,1569,8,1,1458613762,1505533795,0
LTE,311,480,9728,86660434,0,-122.420385,37.798462,1000,56,1,1458613762,1492458562,0
LTE,311,480,9728,86694924,0,-122.401484,37.792075,1000,55,1,1458613763,1505611531,0
LTE,311,480,9728,86669068,0,-122.396752,37.797841,1000,21,1,1458613762,1491357185,0
LTE,311,480,9728,86538264,0,-122.409895,37.782711,1000,42,1,1458613762,1505421658,0
LTE,311,480,9728,86536204,0,-122.401119,37.781854,1000,24,1,1458613762,1564277074,0
LTE,311,480,9728,86536706,0,-122.41127,37.786026,1000,18,1,1458613762,1477603068,0
LTE,311,480,9728,86657036,0,-122.403513,37.805868,1000,56,1,1458613762,1490736395,0
LTE,311,480,9728,86534688,0,-122.395248,37.788923,1000,74,1,1458613762,1475934000,0
LTE,311,480,9728,86696224,0,-122.393513,37.795125,1000,86,1,1458613763,1505541833,0
LTE,311,480,9728,86534422,0,-122.39799499512,37.789535522461,1000,24,1,1458613762,1480480019,0
LTE,311,480,9728,86702092,0,-122.403018,37.778704,1000,92,1,1458613763,1505856870,0
LTE,311,480,9728,161517580,0,-122.400689,37.784964,753,253,1,1458613763,1505427115,0
LTE,311,480,9728,86761996,0,-122.402115,37.786884,1000,29,1,1458613763,1474016386,0
LTE,311,480,9728,86760480,0,-122.400594,37.786789,1000,28,1,1458613763,1473975234,0
LTE,311,480,9728,86704398,0,-122.391868,37.79044,1000,10,1,1458613763,1505881574,0
LTE,311,480,9728,86702664,0,-122.397352,37.781739,3891,213,1,1458613763,1506111771,0
LTE,311,480,9728,163332386,0,-122.399117,37.793937,1000,32,1,1458613763,1506015542,0
LTE,311,480,9728,163334680,0,-122.395329,37.786789,1000,17,1,1458613763,1475313414,0
LTE,311,480,9728,86702862,0,-122.390728,37.779926,2153,82,1,1458613763,1505362341,0
LTE,311,480,9728,163497300,0,-122.409445,37.792025,1000,31,1,1458613763,1505361090,0
LTE,311,480,9728,163469326,0,-122.398224,37.802277,1000,36,1,1458613763,1491691073,0
LTE,311,480,9728,163502664,0,-122.395068,37.779182,500,191,1,1458613763,1506106951,0
LTE,311,480,9729,9735702,0,-122.400291,37.774026,4562,356,1,1458613764,1561923132,0
LTE,311,480,9728,163388174,0,-122.404439,37.789536,1000,13,1,1458613763,1472905158,0
LTE,311,480,9728,163497800,0,-122.409628,37.79081,500,104,1,1458613763,1558336611,0
LTE,311,480,9728,163499276,0,-122.402422,37.788748,500,140,1,1458613763,1505433333,0
LTE,311,480,9729,9735681,0,-122.399335,37.774209,2251,210,1,1458613764,1558919836,0
LTE,311,480,9729,9740814,0,-122.392009,37.754614,2379,79,1,1458613764,1505971558,0
LTE,311,480,9729,9962243,0,-122.392604,37.764476,1000,48,1,1458613764,1505337005,0
LTE,311,480,9729,9739523,0,-122.410513,37.750608,1000,26,1,1458613764,1492463278,0
LTE,311,480,9729,9883148,0,-122.417965,37.782997,1000,78,1,1458613764,1505409378,0
LTE,311,480,9729,9889352,0,-122.40912,37.778948,782,133,1,1458613764,1558919977,0
LTE,311,480,9729,9884684,0,-122.411812,37.779922,1000,163,1,1458613764,1492379279,0
LTE,311,480,9729,9739011,0,-122.391968,37.760196,1848,129,1,1458613764,1558919760,0
LTE,311,480,9729,9740812,0,-122.391388,37.755492,1441,192,1,1458613764,1505962052,0
LTE,311,480,9729,9887244,0,-122.421205,37.771819,1000,76,1,1458613764,1504035382,0
LTE,311,480,9729,9881868,0,-122.415489,37.79043,1000,68,1,1458613764,1505351665,0
LTE,311,480,9729,9741569,0,-122.39331,37.734685,1000,17,1,1458613764,1491285847,0
LTE,311,480,9729,9739522,0,-122.401994,37.74519,715,125,1,1458613764,1572152179,0
LTE,311,480,9729,9743874,0,-122.409178,37.755694,1000,42,1,1458613764,1484384111,0
LTE,311,480,9729,9740035,0,-122.388336,37.760574,1185,25,1,1458613764,1558919738,0
LTE,311,480,9729,9890830,0,-122.401886,37.771969,1000,48,1,1458613764,1491660537,0
LTE,311,480,9729,9743906,0,-122.434397,37.762179,1000,276,1,1458613764,1492158994,0
LTE,311,480,9729,9886220,0,-122.420207,37.778415,500,225,1,1458613764,1505836752,0
LTE,311,480,9729,9962242,0,-122.389206,37.767288,1000,15,1,1458613764,1482186818,0
LTE,311,480,9729,86540834,0,-122.404633,37.745895,1000,72,1,1458613764,1490497219,0
LTE,311,480,9729,86683464,0,-122.418818,37.78461,905,114,1,1458613764,1505673914,0
LTE,311,480,9729,86538508,0,-122.387793,37.786593,1000,7,1,1458613764,1470722889,0
LTE,311,480,9729,163338520,0,-122.395944,37.777193,1000,81,1,1458613765,1471293975,0
LTE,311,480,9729,86539808,0,-122.389397,37.752875,1000,23,1,1458613764,1471780937,0
LTE,311,480,9729,86691342,0,-122.398912,37.774028,846,151,1,1458613765,1505961898,0
LTE,311,480,9729,163338530,0,-122.397995,37.781143,1000,27,1,1458613765,1471050111,0
LTE,311,480,9729,86541078,0,-122.399503,37.719518,1000,133,1,1458613764,1472903621,0
LTE,311,480,9729,86537986,0,-122.394787,37.765581,1221,69,1,1458613764,1558919798,0
LTE,311,480,9729,86660938,0,-122.421969,37.794225,1000,94,1,1458613764,1492280067,0
LTE,311,480,9729,86539296,0,-122.406891,37.770216,1000,251,1,1458613764,1473234741,0
LTE,311,480,9729,163339288,0,-122.397323,37.764729,1000,47,1,1458613765,1472998529,0
LTE,311,480,9730,9742851,0,-122.424704,37.731371,1154,243,1,1458613765,1492130550,0
LTE,311,480,9729,163340056,0,-122.399712,37.743702,1000,16,1,1458613765,1472072968,0
LTE,311,480,9730,9737475,0,-122.413876,37.783974,1000,53,1,1458613765,1506003837,0
LTE,311,480,9730,9737218,0,-122.416823,37.787369,567,126,1,1458613765,1558335673,0
LTE,311,480,9730,9742595,0,-122.452563,37.726808,1166,34,1,1458613765,1492341867,0
LTE,311,480,9729,163490316,0,-122.420074,37.768904,1000,129,1,1458613765,1492296887,0
LTE,311,480,9729,163339534,0,-122.40348815918,37.753829956055,1000,14,1,1458613765,1468747421,0
LTE,311,480,9729,163483464,0,-122.421325,37.785488,714,115,1,1458613765,1505674250,0
LTE,311,480,9729,163489352,0,-122.413373,37.772001,592,157,1,1458613765,1558918064,0
LTE,311,480,9730,9743382,0,-122.459814,37.721547,1000,65,1,1458613765,1488505831,0
LTE,311,480,9730,9742604,0,-122.436735,37.728808,1232,372,1,1458613765,1505962990,0
LTE,311,480,9730,9742337,0,-122.431458,37.733231,1000,158,1,1458613765,1492130550,0
LTE,311,480,9730,9743392,0,-122.462646,37.725143,1000,90,1,1458613765,1491306019,0
LTE,311,480,9729,163341346,0,-122.396622,37.712694,1000,22,1,1458613765,1469036328,0
LTE,311,480,9730,9744386,0,-122.433068,37.759793,1000,76,1,1458613765,1492341867,0
LTE,311,480,9730,9748225,0,-122.443771,37.796402,1000,21,1,1458613765,1491075580,0
LTE,311,480,9730,9751811,0,-122.469309,37.739364,1446,64,1,1458613765,1505584999,0
LTE,311,480,9730,9746433,0,-122.436643,37.802967,2724,143,1,1458613765,1505763175,0
LTE,311,480,9730,9744899,0,-122.420081,37.773582,1000,48,1,1458613765,1505860626,0
LTE,311,480,9730,9752323,0,-122.462327,37.750457,1101,76,1,1458613765,1505587952,0
LTE,311,480,9730,9745921,0,-122.43899,37.775836,1000,23,1,1458613765,1505639076,0
LTE,311,480,9730,9750019,0,-122.466862,37.77049,1000,61,1,1458613765,1491987632,0
LTE,311,480,9730,9744643,0,-122.427651,37.76619,1000,37,1,1458613765,1492372742,0
LTE,311,480,9730,9746689,0,-122.430302,37.787675,776,111,1,1458613765,1505403005,0
LTE,311,480,9730,9752321,0,-122.455867,37.751028,1000,99,1,1458613765,1492341859,0
LTE,311,480,9730,86595872,0,-122.426856,37.763111,1000,62,1,1458613766,1471780937,0
